Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
1,,Française,"1841, Samer (Pas-de-Calais, France) - 1901, Le Lavandou (Var, France)",Vase vert strié,Design d'Objet,3,fin XIXe siècle,Acquisition,"hauteur: 20 cm
diamètre: 10 cm",Terre vernissée,1899,1899,Acquisition,Unknown,objet.png,française,france.png,
2,Inconnue,Inconnue,,Tabouret,Mobilier,1,4ème quart XIXe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 20,5 cm
diamètre: 22,5 cm","Bois sculpté, attache en métal",1899,2010,Donation,Unknown,mobilier.png,Inconnue,unknown.png,
3,Inconnue,Inconnue,,Table basse,Mobilier,1,XIXe siècle,Donation de M. Daniel Cordier en 2010,"21,5 x 114,5 x 48 cm",Bois sculpté,1899,2010,Donation,Unknown,mobilier.png,Inconnue,unknown.png,image/architecture
4,Inconnue,Inconnue,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 93,5 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,objet.png,Inconnue,unknown.png,
5,Inconnue,Inconnue,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 94,8 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,objet.png,Inconnue,unknown.png,
6,Inconnue,Inconnue,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 102,5 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,objet.png,Inconnue,unknown.png,
7,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Banc n°3,Mobilier,1,1859,Inscription à l'inventaire en 1993,97 x 130 x 60 cm,Bois et cannage,1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
8,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise Bistrot n°3,Mobilier,1,1859,Inscription à l'inventaire en 1993,,Bois et cannage,1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
9,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise n°14,Mobilier,1,1873,Inscription à l'inventaire en 1993,"hauteur: 91 cm
diamètre: 46 cm",Bois courbé et cannage,1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
10,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise n°31,Mobilier,1,avant 1885,Inscription à l'inventaire en 1993,,"Bois courbé, assise décor marguerite",1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
11,Inconnue,Inconnue,,Binocle,Design d'Objet,3,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,objet.png,Inconnue,unknown.png,
12,Inconnue,Inconnue,,Poêle N°1,Design d'Objet,3,vers 1850,Inscription à l'inventaire en 1993,"hauteur: 43 cm
diamètre: 22,5 cm",Fonte,1899,1993,Inscription,Unknown,objet.png,Inconnue,unknown.png,
13,Inconnue,Inconnue,,Fer à repasser,Design Industriel,4,vers 1810,Inscription à l'inventaire en 1993,18 x 16 x 11 cm,Fonte et bois,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
14,Inconnue,Inconnue,,Bouilloire n°2,Design Industriel,4,vers 1840,Inscription à l'inventaire en 1993,"25,5 x 28 cm
diamètre: 18 cm",Fonte,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
15,Inconnue,Inconnue,,Moulin à café,Design Industriel,4,vers 1855,Inscription à l'inventaire en 1993,"7,5 x 9,5 x 9,5 cm",Fer,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
16,Inconnue,Inconnue,,Accessoire Bouillotte,Design Industriel,4,vers 1860,Inscription à l'inventaire en 1993,"hauteur: 28,5 cm
diamètre: 7 cm",Cuivre,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
17,Inconnue,Inconnue,,Moulin à café,Design Industriel,4,vers 1880,Inscription à l'inventaire en 1993,29 x 30 x 17 cm,Fonte et bois,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
18,Inconnue,Inconnue,,Machine à écrire Hammond 2 Ideal,Design Industriel,4,vers 1885,Inscription à l'inventaire en 1993,"largeur: 35 cm
profondeur: 35 cm","Acier laqué et chromé, bois",1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
19,Inconnue,Inconnue,,Lunettes Paire de lunettes,Design Vestimentaire ,6,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
20,Inconnue,Inconnue,,Lunettes,Design Vestimentaire ,6,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
21,Inconnue,Inconnue,,Paire de lunettes,Design Vestimentaire ,6,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
22,Inconnue,Inconnue,,Lunette d'approche repliable,Design Vestimentaire ,6,vers 1830,Inscription à l'inventaire en 1993,"hauteur: 7 cm
diamètre: 4,5 cm",Cuivre et or,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
23,Inconnue,Inconnue,,Lunette d'approche,Design Vestimentaire ,6,vers 1840,Inscription à l'inventaire en 1993,"hauteur: 10 cm
diamètre: 4,5 cm",Tortue et or,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
24,Inconnue,Inconnue,,Paire de lunettes de protection,Design Vestimentaire ,6,vers 1880,Inscription à l'inventaire en 1993,,Verres bleutés,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
25,Inconnue,Inconnue,,Paire de lunettes de protection,Design Vestimentaire ,6,vers 1880,Inscription à l'inventaire en 1993,,Verres noirs,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
26,ANONYME,Inconnue,,Querelle de femmes,Design Graphique/ Illustration,2,[1880 - 1900],"Legs de Nina Kandinsky, 1981","35,3 x 44 cm",Reproduction d'une gravure,1899,1981,Legs,Unknown,graphic.png,inconnue,unknown.png,
27,ANONYME,Inconnue,,Aventures chevaleresques,Design Graphique/ Illustration,2,[1880 - 1900],"Legs de Nina Kandinsky, 1981","35,5 x 45 cm","Reproduction d'une gravure, rehaussée de couleurs",1899,1981,Legs,Unknown,graphic.png,inconnue,unknown.png,
28,Inconnue,Inconnue,,Japanese Jingles,Design d'Objet,3,1891,"Legs de Nina Kandinsky, 1981","17,4 x 13 x 2,2 cm",Encre sur papier crépon,1899,1981,Legs,Unknown,objet.png,Inconnue,unknown.png,
29,Etienne MOREAU-NÉLATON,Française,"1859, Paris (France) - 1927, Paris (France)",Vase,Design d'Objet,3,XXe siècle,"Mode d'acquisition non renseigné, entrée au Musée du Luxembourg avant 1931","hauteur: 22 cm
diamètre: 13,5 cm",Terre vernissée,1900,1931,,Homme,objet.png,française,france.png,
30,ANONYME,Inconnue,,"Meuble de rangement, de conservation ... Meuble à petits tiroirs",Mobilier,1,[vers 1900],Dation en 2003,"57 x 50,5 x 40,5 cm","Bois, laiton",1900,2003,Dation,Unknown,mobilier.png,inconnue,unknown.png,
31,ANONYME,Inconnue,,Heurtoir de porte,Design d'Objet,3,vers 1900,Donation de M. Daniel Cordier en 2010,9 x 26 x 20 cm,Bronze,1900,2010,Donation,Unknown,objet.png,inconnue,unknown.png,
32,ANONYME,Inconnue,,Chaise pliante,Mobilier,1,vers 1900,Inscription à l'inventaire en 1993,"77 x 55 x 52,5 cm",Bois et cannage,1900,1993,Inscription,Unknown,mobilier.png,inconnue,unknown.png,
33,ANONYME,Inconnue,,Appareil de photo Chambre photographique,Design d'Objet,3,vers 1900,Inscription à l'inventaire en 1993,"32,6 x 19,5 x 26,5 cm","Bois d'acajou, laiton, carton et verre",1900,1993,Inscription,Unknown,objet.png,inconnue,unknown.png,
34,Henri DUBRET,Française,"1872, Dijon (Côte-d'Or, France) - 1947, Méré (Yvelines, France)",Peigne,Design d'Objet,3,[vers 1902],"Achat de l'Etat, 1905
Attribution, 1906","9,2 x 8,1 x 1,1 cm","Corne, or ciselé, émail à jour, brillants",1902,1906,Etat,Homme,objet.png,française,france.png,
35,Edouard MONOD-HERZEN,Française,"1873, Paris (France) - 1963, Paris (France)",Vase,Design d'Objet,3,1904,"Achat de l'Etat, 1904
Attribution, 1904","hauteur: 9,8 cm
diamètre: 7,8 cm","Argent repoussé, martelé et ciselé",1904,1904,Etat,Homme,objet.png,française,france.png,
36,François-Gilbert BOCQUET,Suisse,"1874, Carouge (Suisse) - 1955, Carouge (Suisse)",Coupe,Design d'Objet,3,vers 1904,"Achat de l'Etat, 1904
Attribution","hauteur: 13,5 cm
diamètre: 30,2 cm","Métal argenté forgé, repoussé, ciselé et martelé",1904,1904,Etat,Homme,objet.png,suisse,switzerland.png,
37,Henri HAMM,Française,"1871, Bordeaux (Gironde, France) - 1961, Paris (France)",Coupe,Design d'Objet,3,1904,"Achat de l'Etat, 1904
Attribution, 1905","3,5 x 12,5 x 12,2 cm",Corne sculptée et ajourée,1904,1905,Etat,Homme,objet.png,française,france.png,
38,Edouard MONOD-HERZEN,Française,"1873, Paris (France) - 1963, Paris (France)",Vase,Design d'Objet,3,1905,"Achat de l'Etat, 1906
Attribution, 1907","hauteur: 21,3 cm
diamètre: 8,2 cm","Argent repoussé, martelé, ciselé, incrusté de reliefs d'or ciselés et patinés",1905,1907,Etat,Homme,objet.png,française,france.png,
39,Charles HAIRON,Française,"1880, Bordeaux (Gironde, France) - 1962, Paris (France)",Bonbonnière,Design d'Objet,3,vers 1906,"Achat de l'Etat, 1906
Attribution, 1907","hauteur: 5,5 cm
diamètre: 5,5 cm",Métal ciselé et miroir,1906,1907,Etat,Homme,objet.png,française,france.png,
40,Otto WAGNER,Autrichienne,"1841, Penzing (Autriche) - 1918, Vienne (Autriche)",Fauteuil,Mobilier,1,1900 - 1906,Inscription à l'inventaire en 1993,83 x 47 x 58 cm,Assise et dossier en contreplaqué. Structure en bois cintré,1906,1993,Inscription,Homme,mobilier.png,autrichienne,austria.png,
41,Henri HAMM,Française,"1871, Bordeaux (Gironde, France) - 1961, Paris (France)",Boîte,Design d'Objet,3,[vers 1907],"Achat de l'Etat, 1907
Attribution, 1912","hauteur: 3,6 cm
diamètre: 9,2 cm","Bois de palissandre tourné et sculpté, corne sculptée",1907,1912,Etat,Homme,objet.png,française,france.png,
42,Peter BEHRENS,Allemande,"1868, Hambourg (Allemagne) - 1940, Berlin (Allemagne)",Ventilateur P 38 type GB1,Design Industriel,4,1908,Achat à la Galerie Ulrich Fiedler en 1999,29 x 28 x 15 cm,Pied en fer de fonte émaillée et pales en laiton nickelé cerclées,1908,1999,Achat,Homme,industrie.png,allemande,germany.png,
43,Antonio GAUDI,Espagnole,"1852, Reus (Espagne) - 1926, Barcelone (Espagne)",Banc Colonia Guell,Mobilier,1,1908,Inscription à l'inventaire en 1977,83 x 110 x 64 cm,Fer forgé et bois,1908,1977,Inscription,Homme,mobilier.png,espagnole,spain.png,
44,Peter BEHRENS,Allemande,"1868, Hambourg (Allemagne) - 1940, Berlin (Allemagne)",Bouilloire électrique,Design Industriel,4,1909,Achat à la Galerie Ulrich Fiedler en 1999,23 x 23 x 17 cm,"Laiton vernis, osier",1909,1999,Achat,Homme,industrie.png,allemande,germany.png,
45,François DECORCHEMONT,Française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Vase,Design d'Objet,3,1909,"Achat de l'Etat, 1909
Attribution, 1931","9,8 x 13,9 cm",Pâte de verre teintée,1909,1931,Etat,Homme,objet.png,française,france.png,
46,François DECORCHEMONT,Française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Vase,Design d'Objet,3,1909,"Achat de l'Etat, 1910
Attribution, 1931","8,9 x 12,4 cm",Pâte de verre teintée,1909,1931,Etat,Homme,objet.png,française,france.png,
47,Jean DUNAND,Française (Suisse à la naissance),"1877, Lancy (Suisse) - 1942, Paris (Ile-de-France, France)",Plat,Design d'Objet,3,1909,"Achat de l'Etat, 1909
Attribution, 1938","hauteur: 3,8 cm
diamètre: 39,8 cm","Cuivre argenté, repoussé et martelé",1909,1938,Etat,Homme,objet.png,française (Suisse à la naissance),fra-sui.png,
48,Jean DUNAND,Française (Suisse à la naissance),"1877, Lancy (Suisse) - 1942, Paris (Ile-de-France, France)",Plat,Design d'Objet,3,1909,"Achat de l'Etat, 1909
Attribution, 1938","hauteur: 3,9 cm
diamètre: 39,8 cm","Cuivre argenté, repoussé et martelé",1909,1938,Etat,Homme,objet.png,française (Suisse à la naissance),fra-sui.png,
49,Francis JOURDAIN,Française,"1876, Paris (France) - 1958, Paris (France)",Chaise,Mobilier,1,1910,Achat à M. Laurent Moos en 2006,85 x 42 x 44 cm,Bois et canne,1910,2006,Achat,Homme,mobilier.png,française,france.png,
50,Peter BEHRENS,Allemande,"1868, Hambourg (Allemagne) - 1940, Berlin (Allemagne)",Bouilloire électrique,Design Industriel,4,1909 - 1910,Don de la Société des Amis du Musée national d'art moderne en 2000,"hauteur: 20 cm
diamètre: 15 cm",Laiton nickelé. Anse recouverte d'osier,1910,2000,Don,Homme,industrie.png,allemande,germany.png,
51,Paul POIRET,Française,"1879, Paris (France) - 1944, Paris (France)",Pendentif,Design Vestimentaire ,6,vers 1910,Don de Mme Guillot en 1952,9 x 13 cm,Écaille ajourée,1910,1952,Don,Homme,vetement.png,française,france.png,
52,Charles GREBER,Française,"1853, Beauvais (Oise, France) - 1935, Beauvais (Oise, France)",Vase,Design d'Objet,3,1910,"Achat de l'Etat, 1911
Attribution, 1911",hauteur: 22 cm,Grès émaillé,1910,1911,Etat,Homme,objet.png,française,france.png,
53,Henri SIMMEN,Française,"1879, Montdidier (Somme, France) - 1964, ?",Vase,Design d'Objet,3,1910,"Achat de l'Etat, 1911
Attribution, 1916","hauteur: 29 cm
diamètre: 12 cm",Grès au sel partiellement émaillé,1910,1916,Etat,Homme,objet.png,française,france.png,
54,ANONYME,Inconnue,,Machine à écrire,Design Industriel,4,1910,Inscription à l'inventaire en 2000,8 x 28 x 16 cm,Métal,1910,2000,Inscription,Unknown,industrie.png,inconnue,unknown.png,
55,Charles HAIRON,Française,"1880, Bordeaux (Gironde, France) - 1962, Paris (France)",Poudrier,Design d'Objet,3,vers 1911,"Achat de l'Etat, 1911
Attribution, 1912","hauteur: 7,2 cm
diamètre: 8,6 cm",Ivoire tourné et sculpté,1911,1912,Etat,Homme,objet.png,française,france.png,
56,François DECORCHEMONT,Française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Statuette Esterelle,Design d'Objet,3,1910 - 1911,"Achat de l'Etat, 1911
Attribution","24 x 16,5 x 19,3 cm",Pâte de verre teintée,1911,1911,Etat,Homme,objet.png,française,france.png,
57,Georges BASTARD,Française,"1881, Andeville (Oise, France) - 1939, Espagne",Eventail Epis d'orge,Design d'Objet,3,1911,"Achat de l'Etat, 1912
Attribution, 1913","21,1 x 38,7 cm","Corne, ruban de soie, nacre, rivet et tenons en métal",1911,1913,Etat,Homme,objet.png,française,france.png,
58,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Fond de vase,Design d'Objet,3,1911,Legs de M. Atherton Curtis en 1957,"hauteur: 10 cm
diamètre: 13,5 cm",Grès à glaçure blanche,1911,1957,Legs,Homme,objet.png,française,france.png,
59,Léon JOUHAUD,Française,"1874, Limoges (Haute-Vienne, France) - 1950, ?",Femme à sa toilette,Design Graphique/ Illustration,2,1912,"Achat de l'Etat, 1913
Attribution, 1916","13,1 x 10 x 1 cm",Email et cuivre patiné,1912,1916,Etat,Homme,graphic.png,française,france.png,
60,François DECORCHEMONT,Française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Coupe,Design d'Objet,3,1912,"Achat de l'Etat, 1912
Attribution, 1913","hauteur: 13,2 cm",Pâte de verre teintée,1912,1913,Etat,Homme,objet.png,française,france.png,
61,Georges BASTARD,Française,"1881, Andeville (Oise, France) - 1939, Espagne",Coupe-papier,Design d'Objet,3,1912,"Achat de l'Etat, 1912
Attribution, 1913","1,2 x 34,2 cm",Nacre sculptée,1912,1913,Etat,Homme,objet.png,française,france.png,
62,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Gobelet,Design d'Objet,3,1912,Legs de M. Atherton Curtis en 1957,"hauteur: 7,3 cm",Grès émaillé,1912,1957,Legs,Homme,objet.png,française,france.png,
63,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase gourde,Design d'Objet,3,1912,Legs de M. Atherton Curtis en 1957,"hauteur: 14,5 cm",Grès émaillé,1912,1957,Legs,Homme,objet.png,française,france.png,
64,"Mikhail F. LARIONOV, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit)",Russe,,"Starinnaia lioub
(L'Amour d'autrefois)",Design Graphique/ Illustration,2,1912,"Legs de Nina Kandinsky, 1981","14,5 x 9,8 x 0,2 cm",Lithographies sur papier,1912,1981,Legs,Studio/ Group,graphic.png,russe,,
65,"Natalia GONTCHAROVA, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit), Vélimir KHLEBNIKOV (Viktor Vladimirovitch KHLEBNIKOV, dit)",Russe,,"Igra v Adou
(Jeu en enfer)",Design Graphique/ Illustration,2,1912,"Legs de Nina Kandinsky, 1981","17,7 x 14,6 x 0,3 cm",Lithographie sur papier,1912,1981,Legs,Studio/ Group,graphic.png,russe,,
66,"Natalia GONTCHAROVA, Mikhail F. LARIONOV, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit)",Russe,,"Poustynniki : Poema
(Les Ermites : poème)",Design Graphique/ Illustration,2,1912,"Legs de Nina Kandinsky, 1981","19,3 x 14,6 x 0,6 cm",Lithographies sur papier,1912,1981,Legs,Studio/ Group,graphic.png,russe,,
67,ANONYME,Inconnue,,Fer à repasser,Design Industriel,4,vers 1912,Inscription à l'inventaire en 2000,"13 x 9,5 x 17 cm",Métal et bois,1912,2000,Inscription,Unknown,industrie.png,inconnue,unknown.png,
68,François DECORCHEMONT,Française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Coupe,Design d'Objet,3,1913,"Achat de l'Etat, 1914
Attribution, 1920","hauteur: 7,3 cm",Pâte de verre teintée,1913,1920,Etat,Homme,objet.png,française,france.png,
69,Georges BASTARD,Française,"1881, Andeville (Oise, France) - 1939, (Espagne)",Eventail Les Paons,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1913","18,5 x 34,5 cm","Ruban de soie, nacre sculptée et rivet en métal",1913,1913,Etat,Homme,objet.png,française,france.png,
70,Georges BASTARD,Française,"1881, Andeville (Oise, France) - 1939, (Espagne)",Coupe,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1916","3,9 x 10,9 x 10,1 cm","Corne et nacre sculptées, pigments",1913,1916,Etat,Homme,objet.png,française,france.png,
71,Léon Albert JALLOT,Française,"1874, Nantes (Loire-Atlantique, France) - 1967, Paris (France)",Vitrine,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1926",176 x 56 x 47 cm,"Merisier, loupe de poirier de Perse, cuivre",1913,1926,Etat,Homme,objet.png,française,france.png,
72,Léon Albert JALLOT,Française,"1874, Nantes (Loire-Atlantique, France) - 1967, Paris (France)",Vitrine,Design d'Objet,3,1913,"Achat de l'Etat, 1913
Attribution, 1926",176 x 56 x 47 cm,"Merisier, loupe de poirier de Perse, cuivre",1913,1926,Etat,Homme,objet.png,française,france.png,
73,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Verre,Design d'Objet,3,1912 - 1913,"Achat de l'Etat, 1913
Attribution, 1913","hauteur: 16 cm
diamètre: 9,4 cm","Verre soufflé, verre émaillé",1913,1913,Etat,Homme,objet.png,française,france.png,
74,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Bol,Design d'Objet,3,1913,Legs de M. Atherton Curtis en 1957,"hauteur: 6 cm
diamètre: 14 cm",Grès,1913,1957,Legs,Homme,objet.png,française,france.png,
75,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase oblong évasé,Design d'Objet,3,1913,Legs de M. Atherton Curtis en 1957,hauteur: 32 cm,Grès émaillé,1913,1957,Legs,Homme,objet.png,française,france.png,
76,"Mikhail F. LARIONOV, Alexeï KROUTCHONYKH (Alexeï Elisséïevitch KROUTCHONYKH, dit)",Russe,,"Poloujivoï
(À moitié en vie)",Design Graphique/ Illustration,2,1913,"Legs de Nina Kandinsky, 1981","18,5 x 15,3 x 0,3 cm",Lithographies sur papier,1913,1981,Legs,Studio/ Group,graphic.png,russe,,
77,Georges BASTARD,Française,"1881, Andeville (Oise, France) - 1939, Espagne",Boîte Les Perruches,Design d'Objet,3,1914,"Achat de l'Etat, 1914
Attribution, 1916","hauteur: 5,7 cm
diamètre: 8,3 cm",Ivoire tourné et nacre sculptée,1914,1916,Etat,Homme,objet.png,française,france.png,
78,Jean DUNAND,Française (Suisse à la naissance),"1877, Lancy (Suisse) - 1942, Paris (Ile-de-France, France)",Plat,Design d'Objet,3,1914,"Achat de l'Etat, 1914
Attribution, 1938","hauteur: 1,8 cm
diamètre: 46,2 cm","Nickel oxydé, argenté et repoussé",1914,1938,Etat,Homme,objet.png,française (Suisse à la naissance),fra-sui.png,
79,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase bouteille,Design d'Objet,3,1914,Legs de M. Atherton Curtis en 1957,hauteur: 46 cm,Grès émaillé,1914,1957,Legs,Homme,objet.png,française,france.png,
80,ANONYME,Inconnue,,Ventilateur de table,Design Industriel,4,vers 1914,Inscription à l'inventaire en 2000,"hauteur: 50 cm
profondeur: 25 cm
diamètre: 45 cm",Fonte et métal,1914,2000,Inscription,Unknown,industrie.png,inconnue,unknown.png,
81,ANONYME,Inconnue,,Téléphone,Design Industriel,4,vers 1914,Inscription à l'inventaire en 2000,29 x 16 x 14 cm,Métal et bakélite,1914,2000,Inscription,Unknown,industrie.png,inconnue,unknown.png,
82,Abel LAFLEUR,Française,"1875, Rodez (Aveyron, France) - 1953, Boulogne-Billancourt (Hauts-de-Seine, France)",Plaque Femme nue lisant,Design Graphique/ Illustration,2,1911 - 1915,"Achat de l'Etat, 1919
Attribution, 1919","6,8 x 6,7 x 0,4 cm",Ivoire sculpté,1915,1919,Etat,Homme,graphic.png,française,france.png,
83,André METTHEY,Française,"1871, Laignes (Côte-d'Or, France) - 1920, Asnières (Eure, France)",Vase,Design d'Objet,3,vers 1915,Legs en 1957,"hauteur: 25 cm
diamètre: 15 cm",Grès,1915,1957,Legs,Homme,objet.png,française,france.png,
84,ANONYME,Inconnue,,Manuscrit Vicissitudes de la Belgique à travers l'histoire,Design Graphique/ Illustration,2,[1915 - 1916],Legs de Mme Raoul Dufy en 1963,"22 x 17,2 cm",Texte manuscrit sur papier,1916,1963,Legs,Unknown,graphic.png,inconnue,unknown.png,
85,CALOR,Française,,"Fer à repasser n° 1 ""Ménage""",Design Industriel,4,1917,Don de Calor en 1992,13 x 17 x 8 cm,"Fonte d'acier nickelée, fonte d'aluminium, acajou verni, laiton, carton d'amiante",1917,1992,Don,Studio/ Group,industrie.png,française,france.png,
86,Raoul DUFY,Française,"1877, Le Havre (Normandie, France) - 1953, Forcalquier (Provence-Alpes-Côte d'Azur, France)",Livre M. Croquant,Design Graphique/ Illustration,2,1918,Legs de Mme Raoul Dufy en 1963,,,1918,1963,Legs,Homme,graphic.png,française,france.png,
87,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Sofa,Mobilier,1,1919,Dation en 2022,"65 x 209,5 x 97,5 cm",Ebène de Macassar,1919,2022,Dation,Homme,mobilier.png,française,france.png,
88,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Gobelet,Design d'Objet,3,1919,Legs de M. Atherton Curtis en 1957,"hauteur: 8,5 cm
diamètre: 8,6 cm",Grès,1919,1957,Legs,Homme,objet.png,française,france.png,
89,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,1919,Legs de M. Atherton Curtis en 1957,"hauteur: 32,5 cm
diamètre: 8,5 cm",Grès émaillé blanc partiellement craquelé avec boursoufflure zones beiges et zones craquelées,1919,1957,Legs,Homme,objet.png,française,france.png,
90,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupelle,Design d'Objet,3,1919,Legs de M. Atherton Curtis en 1957,"hauteur: 5 cm
diamètre: 8,5 cm",Porcelaine à glaçure beige,1919,1957,Legs,Homme,objet.png,française,france.png,
91,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,1919,Legs de M. Atherton Curtis en 1957,"hauteur: 15,5 cm
diamètre: 10,5 cm",Grès rouge,1919,1957,Legs,Homme,objet.png,française,france.png,
92,Eileen GRAY,Irlandaise,"1878, Enniscorthy (Irlande) - 1976, Paris (France)",Fauteuil (prototype d'essai),Mobilier,1,circa 1920,Achat à l' Etude Tajan en 2016,,"bois, laine",1920,2016,Achat,Femme,mobilier.png,irlandaise,ireland.png,
93,André LURÇAT,Française,"1894, Bruyères (Vosges, France) - 1970, Sceaux (Hauts-de-Seine, France)",Bureau moderniste,Mobilier,1,vers 1920,"Achats grâce aux Amis du Centre Pompidou, Groupe d'Acquisition pour le Design, 2021.",75 x 124 x 70 cm,Bois peint,1920,2021,Achat,Homme,mobilier.png,française,france.png,
94,Francis JOURDAIN,Française,"1876, Paris (France) - 1958, Paris (France)",Jeu d'éveil ou éducatif Les Mille et une transformations de la Poule Merveilleuse,Design d'Objet,3,1920,Achat à Denis Ozanne Rare Books en 2006,,Bois découpé et peint,1920,2006,Achat,Homme,objet.png,française,france.png,
95,Francis JOURDAIN,Française,"1876, Paris (France) - 1958, Paris (France)",Vase,Design d'Objet,3,vers 1920,Don de la Galerie Doria en 2018,"hauteur: 22 cm
diamètre: 16,5 cm",Terre vernissée,1920,2018,Don,Homme,objet.png,française,france.png,
96,Jean BURKHALTER,Française,"1895, Auxerre (Bourgogne-Franche-Comté, France) - 1982, Blacy (Bourgogne-Franche-Comté, France)",Porte-plante,Design d'Objet,3,vers 1920,"Don des amis du Centre Pompidou, Groupe d'acquisition pour le Design, 2018","101,30 x 50 x 26 cm",Feuilles de métal découpées et courbées,1920,2018,Don,Homme,objet.png,française,france.png,
