Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
547,Paul BONIFAS,Suisse,"1893, Genève (Suisse) - 1967, Seattle (Washington, États-Unis)",Vase à la chinoise à trois anneaux,Design d'Objet,3,[vers 1937],Mode d'acquisition non renseigné,"41,5 x 26 cm
diamètre: 17 cm",Céramique en grès émaillé et craquelé beige,1937,1937,,Homme,objet.png,suisse,switzerland.png,
548,Paul BONIFAS,Suisse,"1893, Genève (Suisse) - 1967, Seattle (Washington, États-Unis)",Jardinière à anses,Design d'Objet,3,[vers 1937],Mode d'acquisition non renseigné ancien Fonds du Musée national d'art moderne en 1941,"21 x 35 cm
diamètre: 24 cm",Céramique en grès émaillé et craquelé beige,1937,1941,,Homme,objet.png,suisse,switzerland.png,
549,SAINT-GOBAIN,Française,,Névada 204A,Design d'Objet,3,1937,Don de M. Laurent Moos en 2007,"3,7 x 20 x 20 cm",Verre,1937,2007,Don,Studio/ Group,objet.png,française,france.png,
550,SAINT-GOBAIN,Française,,Primalith 2910,Design d'Objet,3,1937,Don de M. Laurent Moos en 2007,10 x 29 x 29 cm,Verre,1937,2007,Don,Studio/ Group,objet.png,française,france.png,
551,SAINT-GOBAIN,Française,,Primalith 208,Design d'Objet,3,1937,Don de M. Laurent Moos en 2007,"3,2 x 20 x 20 cm",Verre,1937,2007,Don,Studio/ Group,objet.png,française,france.png,
552,SAINT-GOBAIN,Française,,Névada 2032,Design d'Objet,3,1937,Don de M. Laurent Moos en 2007,"3,2 x 20 x 20 cm",Verre,1937,2007,Don,Studio/ Group,objet.png,française,france.png,
553,ANONYME,Inconnue,,Fauteuil,Mobilier,1,1937,Don de la Fondation VSHA en 2007,88 x 60 x 90 cm,Structure en métal laqué. Assise à ressorts recouverte de 2 coussins amovibles en toile de coton,1937,2007,Don,Unknown,mobilier.png,inconnue,unknown.png,
554,ANONYME,Inconnue,,Table d'appoint,Mobilier,1,1937,Don de la Fondation VSHA en 2007,62 x 39 x 50 cm,Structure en tube d'acier laqué et tablettes en bois stratifié,1937,2007,Don,Unknown,mobilier.png,inconnue,unknown.png,
555,Charlotte PERRIAND,Française,"1903, Paris (Ile-de-France, France) - 1999, Paris (Ile-de-France, France)",Table en forme,Mobilier,1,1938,Achat à l'artiste en 1995,69 x 183 x 125 cm,"Sapin naturel, pin teinté verni",1938,1995,Achat,Femme,mobilier.png,française,france.png,
556,Charlotte PERRIAND,Française,"1903, Paris (Ile-de-France, France) - 1999, Paris (Ile-de-France, France)","Plan, élévation et coupe, Table en forme",Design Graphique/ Illustration,2,1938,Don de Mme Catherine Belfort en 2018,"49,7 x 26,5 cm",Mine graphite sur calque,1938,2018,Don,Femme,graphic.png,française,france.png,
